name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
"The Shining",R,Drama,1980,1980-06-13,8.4,927000,"Stanley Kubrick","Stephen King","Jack Nicholson","United Kingdom",19000000,46998772,"Warner Bros.",146
"The Blue Lagoon",R,Adventure,1980,1980-07-02,5.8,65000,"Randal Kleiser","Henry De Vere Stacpoole","Brooke Shields","United States",4500000,58853106,"Columbia Pictures",104
"Star Wars: Episode V - The Empire Strikes Back",PG,Action,1980,1980-06-20,8.7,1200000,"Irvin Kershner","Leigh Brackett","Mark Hamill","United States",18000000,538375067,Lucasfilm,124
Airplane!,PG,Comedy,1980,1980-07-02,7.7,221000,"Jim Abrahams","Jim Abrahams","Robert Hays","United States",3500000,83453539,"Paramount Pictures",88
Caddyshack,R,Comedy,1980,1980-07-25,7.3,108000,"Harold Ramis","Brian Doyle-Murray","Chevy Chase","United States",6000000,39846344,"Orion Pictures",98
"Friday the 13th",R,Horror,1980,1980-05-09,6.4,123000,"Sean S. Cunningham","Victor Miller","Betsy Palmer","United States",550000,39754601,"Paramount Pictures",95
"The Blues Brothers",R,Action,1980,1980-06-20,7.9,188000,"John Landis","Dan Aykroyd","John Belushi","United States",27000000,115229890,"Universal Pictures",133
"Raging Bull",R,Biography,1980,1980-12-19,8.2,330000,"Martin Scorsese","Jake LaMotta","Robert De Niro","United States",18000000,23402427,"Chartoff-Winkler Productions",129
"Superman II",PG,Action,1980,1981-06-19,6.8,101000,"Richard Lester","Jerry Siegel","Gene Hackman","United States",54000000,108185706,"Dovemead Films",127
"The Long Riders",R,Biography,1980,1980-05-16,7,10000,"Walter Hill","Bill Bryden","David Carradine","United States",10000000,15795189,"United Artists",100
"Any Which Way You Can",PG,Action,1980,1980-12-17,6.1,18000,"Buddy Van Horn","Stanford Sherman","Clint Eastwood","United States",15000000,70687344,"The Malpaso Company",116
"The Gods Must Be Crazy",PG,Adventure,1980,1984-10-26,7.3,54000,"Jamie Uys","Jamie Uys",N!xau,"South Africa",5000000,30031783,"C.A.T. Films",109
